,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
11192,11192,2424,2032,7,1,MANDATORY,5933349
20126,20126,499,2354,8,1,MANDATORY,1771165
21816,21816,1814,2285,7,3,MANDATORY,3563889
1552,1552,2424,1535,8,3,MANDATORY,2519455
14259,14259,1113,84,7,2,MANDATORY,7005860
28569,28569,2173,580,8,0,MANDATORY,6136941
8406,8406,1008,2431,7,1,MANDATORY,2775404
23512,23512,1938,2354,7,1,MANDATORY,159782
25247,25247,1184,2354,8,1,MANDATORY,461585
19714,19714,2706,2354,7,1,MANDATORY,2612301
26775,26775,1005,745,8,5,MANDATORY,509551
4289,4289,2512,2059,8,0,MANDATORY,6514138
19778,19778,754,2354,7,0,MANDATORY,2612276
5291,5291,275,1542,8,5,MANDATORY,2372652
10413,10413,2296,1542,7,5,MANDATORY,3922094
13668,13668,1858,84,8,5,MANDATORY,4349981
28195,28195,2173,2626,7,4,MANDATORY,3839543
11275,11275,2424,18,8,0,MANDATORY,7005301
16711,16711,2012,456,8,5,MANDATORY,647565
21668,21668,1175,2354,7,2,MANDATORY,2258024
25868,25868,1553,2354,7,3,MANDATORY,1209739
8161,8161,1597,1424,8,0,MANDATORY,4614257
4034,4034,2173,505,8,2,MANDATORY,1175051
1272,1272,2424,153,8,1,MANDATORY,6484730
4055,4055,2173,930,7,4,MANDATORY,2884184
13048,13048,989,84,7,2,MANDATORY,3054809
15309,15309,1362,808,7,5,MANDATORY,3705149
16300,16300,1410,2354,8,4,MANDATORY,7872317
12650,12650,1673,2159,8,4,MANDATORY,5219453
17956,17956,353,2354,7,0,MANDATORY,3983417
20285,20285,1467,315,8,5,MANDATORY,7006493
6818,6818,296,84,7,0,MANDATORY,5484013
25755,25755,2701,1040,7,5,MANDATORY,7489933
26942,26942,2355,454,8,3,MANDATORY,7328296
8741,8741,596,2059,8,4,MANDATORY,5112077
26711,26711,2355,1347,7,1,MANDATORY,447389
8581,8581,997,2516,8,3,MANDATORY,7321675
17010,17010,1868,697,7,2,MANDATORY,7322794
21247,21247,1793,2510,7,5,MANDATORY,4615723
7175,7175,291,115,8,4,MANDATORY,5086390
28969,28969,2671,84,7,4,MANDATORY,5783690
5477,5477,1884,667,7,0,MANDATORY,2433685
21410,21410,1174,2354,7,3,MANDATORY,443244
17415,17415,2268,2354,7,1,MANDATORY,5701727
6972,6972,1733,604,8,0,MANDATORY,3704038
663,663,2447,1542,7,1,MANDATORY,7218918
23338,23338,725,712,7,4,MANDATORY,4067320
4176,4176,2173,1982,8,3,MANDATORY,7871841
28239,28239,2173,1573,7,5,MANDATORY,6057899
22583,22583,203,2354,8,5,MANDATORY,6047117
19651,19651,660,2354,7,3,MANDATORY,7006381
5911,5911,1884,185,8,1,MANDATORY,7003720
3570,3570,1903,84,8,2,MANDATORY,2457373
6297,6297,2355,325,8,5,MANDATORY,441897
19893,19893,657,2354,7,4,MANDATORY,7323576
1618,1618,2424,1708,7,1,MANDATORY,6638951
18932,18932,767,2354,8,2,MANDATORY,4427072
13760,13760,1779,84,8,4,MANDATORY,3563411
18245,18245,2244,2354,7,4,MANDATORY,2989081
9399,9399,2079,2059,8,2,MANDATORY,7004950
20353,20353,2363,1844,8,4,MANDATORY,6047001
25883,25883,1276,829,8,5,MANDATORY,826343
24038,24038,688,2354,8,0,MANDATORY,825905
21478,21478,557,2354,8,0,MANDATORY,4763263
25898,25898,386,2354,7,1,MANDATORY,461646
26018,26018,2355,2252,7,4,MANDATORY,669822
27148,27148,2355,272,7,2,MANDATORY,165220
9786,9786,398,1542,8,2,MANDATORY,6045984
21364,21364,645,2354,8,2,MANDATORY,2258034
5319,5319,1884,2504,7,4,MANDATORY,2123007
19677,19677,370,2354,8,2,MANDATORY,1928139
4396,4396,2173,1560,7,3,MANDATORY,625923
21228,21228,1853,2354,8,2,MANDATORY,1048482
9178,9178,31,461,8,2,MANDATORY,442542
14011,14011,150,2466,7,5,MANDATORY,5675719
5978,5978,1884,1343,8,2,MANDATORY,7320525
27392,27392,2355,2702,7,1,MANDATORY,7493152
7739,7739,1217,2431,7,2,MANDATORY,3562849
7990,7990,2185,1696,8,3,MANDATORY,3249553
13939,13939,973,84,7,0,MANDATORY,365863
24835,24835,1490,1684,7,0,MANDATORY,2989635
22191,22191,697,2354,8,5,MANDATORY,6047146
17373,17373,2632,1846,8,4,MANDATORY,461217
128,128,2355,171,7,4,MANDATORY,6128911
20499,20499,562,2354,7,5,MANDATORY,1771235
10227,10227,2395,77,8,3,MANDATORY,1614885
18198,18198,411,2354,8,0,MANDATORY,4615411
1638,1638,2424,1710,7,3,MANDATORY,3837213
29440,29440,2355,848,8,2,MANDATORY,5905507
17306,17306,2507,1986,7,5,MANDATORY,3735871
29310,29310,2355,2672,7,1,MANDATORY,3400517
1615,1615,2424,2152,8,1,MANDATORY,5167318
15547,15547,2219,84,7,1,MANDATORY,2318750
4122,4122,2173,1719,7,4,MANDATORY,2280930
29444,29444,2355,1289,7,1,MANDATORY,1406426
27660,27660,2355,2647,7,3,MANDATORY,5493585
17436,17436,1451,974,7,5,MANDATORY,7322583
7212,7212,1632,84,8,5,MANDATORY,2318626
20204,20204,918,2354,8,3,MANDATORY,1771170
17587,17587,2130,1727,8,5,MANDATORY,2257896
3163,3163,2326,1566,8,0,MANDATORY,1042745
24772,24772,1269,2354,8,5,MANDATORY,5933966
22312,22312,228,2354,8,2,MANDATORY,1111477
11104,11104,2424,185,8,1,MANDATORY,3283600
14469,14469,577,84,8,3,MANDATORY,6246047
16059,16059,1833,2354,7,1,MANDATORY,5219609
20946,20946,1853,2354,7,5,MANDATORY,7323930
18818,18818,639,126,8,1,MANDATORY,443106
27792,27792,2355,1650,7,0,MANDATORY,7338279
22219,22219,229,2354,8,2,MANDATORY,4048193
11265,11265,2424,1376,8,2,MANDATORY,5112163
7933,7933,940,2431,7,0,MANDATORY,3442220
25202,25202,1115,1185,8,0,MANDATORY,2989575
18588,18588,2241,1924,7,5,MANDATORY,2776211
943,943,2424,792,7,4,MANDATORY,3537990
5001,5001,2173,1881,8,5,MANDATORY,1614429
8363,8363,2517,2161,7,3,MANDATORY,7004802
25827,25827,1994,1977,8,0,MANDATORY,7490181
2542,2542,1432,2354,7,4,MANDATORY,221422
2147,2147,2424,2000,7,5,MANDATORY,4187710
4696,4696,2355,1774,7,2,MANDATORY,1399907
29266,29266,2355,1997,7,5,MANDATORY,4688819
1289,1289,2670,84,8,2,MANDATORY,7175023
27797,27797,2355,2048,7,4,MANDATORY,4942835
28273,28273,2173,2265,7,1,MANDATORY,7030939
16444,16444,1408,2485,7,2,MANDATORY,2318788
9886,9886,2127,1542,8,3,MANDATORY,3704222
17695,17695,875,576,7,5,MANDATORY,4615223
4608,4608,2355,2008,8,5,MANDATORY,1530985
4486,4486,2173,1454,7,2,MANDATORY,5478953
15197,15197,2477,2227,8,2,MANDATORY,2988976
6759,6759,2,84,7,3,MANDATORY,3249530
8268,8268,529,2431,8,4,MANDATORY,2887224
18499,18499,2237,2354,7,1,MANDATORY,3563674
15191,15191,1786,84,8,2,MANDATORY,1770738
5068,5068,2173,2022,8,4,MANDATORY,2433056
11815,11815,1397,1542,8,2,MANDATORY,3704699
22201,22201,1252,2354,7,0,MANDATORY,5486235
