GP_file,Longitude,Latitude
1200.csv,-93.23, 30.01
1201.csv,-93.24, 30.01
1202.csv,-93.25, 30.01
1203.csv,-93.26, 30.01
1204.csv,-93.27, 30.01
1205.csv,-93.35, 30.01
1206.csv,-93.36, 30.01
1207.csv,-93.37, 30.01
1208.csv,-93.38, 30.01
1209.csv,-93.39, 30.01
1210.csv,-93.40, 30.01
1211.csv,-93.41, 30.01
1212.csv,-93.42, 30.01
1213.csv,-93.43, 30.01
1214.csv,-93.44, 30.01
1215.csv,-93.67, 30.01
1216.csv,-93.68, 30.01
1217.csv,-93.69, 30.01
1218.csv,-93.70, 30.01
1219.csv,-93.71, 30.01
1220.csv,-93.72, 30.01
1221.csv,-93.73, 30.01
1222.csv,-93.74, 30.01
1223.csv,-93.75, 30.01
1224.csv,-93.76, 30.01
1225.csv,-93.77, 30.01
1226.csv,-93.78, 30.01
1227.csv,-93.79, 30.01
1228.csv,-93.80, 30.01
1229.csv,-92.84, 30.02
1230.csv,-92.85, 30.02
1231.csv,-92.86, 30.02
1232.csv,-92.87, 30.02
1233.csv,-92.88, 30.02
1234.csv,-92.89, 30.02
1235.csv,-92.90, 30.02
1236.csv,-92.91, 30.02
1237.csv,-93.18, 30.02
1238.csv,-93.19, 30.02
1239.csv,-93.20, 30.02
1240.csv,-93.21, 30.02
1241.csv,-93.22, 30.02
1242.csv,-93.23, 30.02
1243.csv,-93.24, 30.02
1244.csv,-93.25, 30.02
1245.csv,-93.26, 30.02
1246.csv,-93.27, 30.02
1247.csv,-93.35, 30.02
1248.csv,-93.36, 30.02
1249.csv,-93.37, 30.02
1250.csv,-93.38, 30.02
1251.csv,-93.39, 30.02
1252.csv,-93.40, 30.02
1253.csv,-93.41, 30.02
1254.csv,-93.42, 30.02
1255.csv,-93.43, 30.02
1256.csv,-93.44, 30.02
1257.csv,-93.68, 30.02
1258.csv,-93.69, 30.02
1259.csv,-93.70, 30.02
1260.csv,-93.71, 30.02
