BldgID,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,Footprint,Wind_Config
62,30.19523963,-93.26509578,Wood,Multi-Unit Housing,1,15.0,762.2,Hip,,Truss,,0,8d,Toe-nail,,,,1.0,,,,,Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.26497, 30.19537], [-93.265126, 30.195368], [-93.265124, 30.195273], [-93.265263, 30.195271], [-93.265261, 30.195141], [-93.264966, 30.195145], [-93.26497, 30.19537]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.hip.null.null.0.8d.tnail.1.35
63,30.18320723,-93.26874719,Wood,Multi-Unit Housing,1,15.0,283.5,Gable,,Truss,,0,8d,Toe-nail,,,,1.0,,,,,Light Trees,RES3A,"{""geometry"": {""coordinates"": [[[-93.268813, 30.183293], [-93.268805, 30.183129], [-93.268666, 30.183134], [-93.268669, 30.183209], [-93.268704, 30.183208], [-93.268708, 30.183296], [-93.268813, 30.183293]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.gab.null.null.0.8d.tnail.1.70
64,30.18410544,-93.26472474,Wood,Single Family Housing,1,12.47,507.4,Hip,,Truss,,0,8d,Toe-nail,,,No,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.264621, 30.184191], [-93.264836, 30.184184], [-93.264829, 30.18402], [-93.264613, 30.184027], [-93.264621, 30.184191]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.no.0.35
65,30.18521828,-93.26827592,Wood,Single Family Housing,1,0.0,544.4,Hip,,Truss,,0,8d,Toe-nail,,,Weak,0.0,,,,,Light Trees,RES1,"{""geometry"": {""coordinates"": [[[-93.268182, 30.185334], [-93.268273, 30.185333], [-93.268273, 30.185288], [-93.26841, 30.185287], [-93.268409, 30.185228], [-93.268365, 30.185229], [-93.268364, 30.185117], [-93.268181, 30.185118], [-93.268182, 30.185334]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.wkd.0.70
66,30.1872335,-93.2651645,Wood,Single Family Housing,1,17.07,375.1,Hip,,Truss,,0,8d,Toe-nail,,,Weak,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.26526, 30.187165], [-93.265069, 30.187165], [-93.265069, 30.187302], [-93.26526, 30.187302], [-93.26526, 30.187165]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.wkd.0.35
67,30.1875945,-93.271569,Wood,Multi-Unit Housing,1,15.0,91.3,Gable,,Truss,,1,8d,Toe-nail,,,,0.0,,,,,Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.271523, 30.187629], [-93.271614, 30.18763], [-93.271615, 30.18756], [-93.271524, 30.187559], [-93.271523, 30.187629]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.gab.null.null.1.8d.tnail.0.35
68,30.18641458,-93.25989125,Wood,Single Family Housing,1,17.28,231.6,Gable,,Truss,,0,8d,Toe-nail,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.259973, 30.186359], [-93.259842, 30.186359], [-93.259842, 30.186412], [-93.259785, 30.186412], [-93.259785, 30.186461], [-93.259973, 30.186461], [-93.259973, 30.186359]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.tnail.no.1.35
69,30.186603,-93.2527015,Wood,Multi-Unit Housing,1,15.0,208.6,Gable,,Truss,,0,8d,Toe-nail,,,,1.0,,,,,Light Trees,RES3A,"{""geometry"": {""coordinates"": [[[-93.25275, 30.186528], [-93.252653, 30.186528], [-93.252653, 30.186678], [-93.25275, 30.186678], [-93.25275, 30.186528]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.gab.null.null.0.8d.tnail.1.70
70,30.18986241,-93.2549801,Wood,Single Family Housing,1,14.92,550.7,Hip,,Truss,,0,8d,Toe-nail,,,No,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.254853, 30.189764], [-93.254853, 30.189832], [-93.254909, 30.189832], [-93.254909, 30.189975], [-93.255073, 30.189975], [-93.255073, 30.189764], [-93.254853, 30.189764]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.no.0.35
71,30.19161376,-93.25209418,Wood,Multi-Unit Housing,1,15.0,497.9,Gable,,Truss,,1,8d,Toe-nail,,,,0.0,,,,,Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.252162, 30.191516], [-93.251977, 30.191514], [-93.251975, 30.191658], [-93.252124, 30.191659], [-93.252124, 30.191738], [-93.252235, 30.191739], [-93.252235, 30.191668], [-93.25216, 30.191668], [-93.252162, 30.191516]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.gab.null.null.1.8d.tnail.0.35
72,30.19213791,-93.25492614,Wood,Multi-Unit Housing,1,15.0,613.1,Gable,,Truss,,0,8d,Toe-nail,,,,1.0,,,,,Suburban,RES3A,"{""geometry"": {""coordinates"": [[[-93.255032, 30.19225], [-93.255024, 30.192023], [-93.25485, 30.192027], [-93.254854, 30.192139], [-93.254779, 30.19214], [-93.254781, 30.192222], [-93.25494, 30.192217], [-93.254941, 30.192252], [-93.255032, 30.19225]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.MUH.1.gab.null.null.0.8d.tnail.1.35
73,30.17008177,-93.29908476,Wood,Single Family Housing,1,15.42,702.6,Hip,,Truss,,1,8d,Strap,,,Standard,0.0,,,,,Light Trees,RES1,"{""geometry"": {""coordinates"": [[[-93.299296, 30.169993], [-93.298945, 30.170002], [-93.298951, 30.170196], [-93.299146, 30.170192], [-93.299142, 30.170068], [-93.299298, 30.170064], [-93.299296, 30.169993]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.1.8d.strap.std.0.70
74,30.14767973,-93.30597067,Wood,Single Family Housing,1,15.0,739.5,Hip,,Truss,,0,8d,Strap,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.30607, 30.147507], [-93.305978, 30.147517], [-93.305997, 30.147637], [-93.305788, 30.147661], [-93.305806, 30.147777], [-93.305884, 30.147768], [-93.305887, 30.14779], [-93.30611, 30.147764], [-93.30607, 30.147507]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.strap.no.1.35
75,30.15290023,-93.29851741,Wood,Single Family Housing,1,18.06,501.7,Hip,,Truss,,0,8d,Strap,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.298425, 30.152768], [-93.298425, 30.152963], [-93.298504, 30.152963], [-93.298504, 30.153014], [-93.298621, 30.153014], [-93.298621, 30.152858], [-93.298519, 30.152858], [-93.298519, 30.152768], [-93.298425, 30.152768]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.strap.no.1.35
76,30.1676845,-93.291721,Wood,Single Family Housing,1,12.75,445.9,Hip,,Truss,,0,8d,Strap,,,No,1.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.291824, 30.16776], [-93.291824, 30.167609], [-93.291618, 30.167609], [-93.291618, 30.16776], [-93.291824, 30.16776]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.strap.no.1.35
77,30.1671235,-93.276809,Wood,Single Family Housing,1,17.0,387.3,Hip,,Truss,,0,8d,Strap,,,No,0.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.276739, 30.167027], [-93.276739, 30.16722], [-93.276879, 30.16722], [-93.276879, 30.167027], [-93.276739, 30.167027]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.strap.no.0.15
78,30.16739173,-93.27853773,Wood,Single Family Housing,1,18.68,414.5,Gable,,Truss,,0,8d,Strap,,,Standard,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.278563, 30.167426], [-93.278652, 30.167426], [-93.278652, 30.167333], [-93.278566, 30.167333], [-93.278566, 30.167301], [-93.278456, 30.167301], [-93.278456, 30.167493], [-93.278563, 30.167493], [-93.278563, 30.167426]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.strap.std.0.35
