TH_file,factor
RSN8280,75.78181818181817
RSN5253,16.245454545454546
RSN3910,3.1272727272727274
RSN3474,1.1090909090909091
RSN8655,13.218181818181817
RSN5080,25.327272727272728
RSN21418,88.89999999999999
RSN3492,7.163636363636363
RSN5429,25.327272727272728
RSN6154,11.2
RSN545,4.136363636363636
RSN2410,6.154545454545454
RSN3008,10.19090909090909
RSN9301,56.60909090909091
RSN4195,15.236363636363635
RSN18037,43.49090909090909
RSN1874,30.37272727272727
RSN6705,32.39090909090909
RSN9301,37.43636363636364
RSN11659,51.56363636363636
