TH_file,factor
RSN6837,64.68181818181817
RSN3967,10.19090909090909
RSN6863,25.327272727272728
RSN18414,16.245454545454546
RSN4457,1.1090909090909091
RSN6622,47.527272727272724
RSN9839,34.40909090909091
RSN8949,19.272727272727273
RSN4205,10.19090909090909
RSN3922,5.145454545454545
RSN1,2.118181818181818
RSN3044,18.263636363636365
RSN8689,48.53636363636364
RSN204,2.118181818181818
RSN4314,8.172727272727272
RSN3731,19.272727272727273
RSN2211,21.290909090909093
RSN8088,39.45454545454545
RSN3472,3.1272727272727274
RSN8109,88.89999999999999
