TH_file,factor
RSN8143,19.272727272727273
RSN1901,23.30909090909091
RSN6255,18.263636363636365
RSN543,8.172727272727272
RSN6708,34.40909090909091
RSN3301,5.145454545454545
RSN10618,79.81818181818181
RSN213,10.19090909090909
RSN5510,17.254545454545454
RSN6863,12.209090909090909
RSN9130,26.336363636363636
RSN3326,15.236363636363635
RSN3162,14.227272727272727
RSN4518,14.227272727272727
RSN3687,3.1272727272727274
RSN11542,48.53636363636364
RSN8768,7.163636363636363
RSN2165,18.263636363636365
RSN4973,76.79090909090908
RSN5675,6.154545454545454
