TH_file,factor
RSN523,7.163636363636363
RSN11129,65.69090909090909
RSN9130,11.2
RSN2120,77.8
RSN108,8.172727272727272
RSN607,3.1272727272727274
RSN9638,46.518181818181816
RSN471,4.136363636363636
RSN4182,15.236363636363635
RSN5111,20.28181818181818
RSN6255,18.263636363636365
RSN3294,8.172727272727272
RSN8926,23.30909090909091
RSN20343,61.654545454545456
RSN2413,17.254545454545454
RSN526,5.145454545454545
RSN8280,59.63636363636363
RSN11704,40.46363636363636
RSN1076,3.1272727272727274
RSN2985,6.154545454545454
