TH_file,factor
RSN107,15.236363636363635
RSN9508,63.67272727272727
RSN110,23.30909090909091
RSN8895,8.172727272727272
RSN3347,10.19090909090909
RSN6882,9.181818181818182
RSN5599,29.363636363636363
RSN6708,74.77272727272727
RSN5079,26.336363636363636
RSN4179,12.209090909090909
RSN6230,7.163636363636363
RSN3599,14.227272727272727
RSN8390,54.590909090909086
RSN5430,25.327272727272728
RSN3708,23.30909090909091
RSN18875,85.87272727272726
RSN10450,76.79090909090908
RSN6468,33.4
RSN2418,17.254545454545454
RSN3967,6.154545454545454
