TH_file,factor
RSN8804,17.254545454545454
RSN713,8.172727272727272
RSN6837,42.481818181818184
RSN9301,52.57272727272727
RSN3347,7.163636363636363
RSN10833,100.0
RSN12579,42.481818181818184
RSN2165,16.245454545454546
RSN2979,3.1272727272727274
RSN523,4.136363636363636
RSN6594,18.263636363636365
RSN6824,30.37272727272727
RSN4089,81.83636363636363
RSN5438,10.19090909090909
RSN110,13.218181818181817
RSN8839,13.218181818181817
RSN11764,22.3
RSN6287,46.518181818181816
RSN3038,12.209090909090909
RSN6863,17.254545454545454
