TH_file,factor
RSN1643,5.145454545454545
RSN641,3.1272727272727274
RSN247,3.1272727272727274
RSN6503,84.86363636363636
RSN8758,8.172727272727272
RSN5760,1.1090909090909091
RSN8762,76.79090909090908
RSN1999,40.46363636363636
RSN1347,4.136363636363636
RSN8792,59.63636363636363
RSN6154,27.345454545454544
RSN3305,20.28181818181818
RSN2165,13.218181818181817
RSN19884,94.95454545454544
RSN2140,31.381818181818183
RSN643,10.19090909090909
RSN11870,47.527272727272724
RSN314,2.118181818181818
RSN18756,36.42727272727273
RSN4205,9.181818181818182
