TH_file,factor
RSN3508,11.2
RSN8900,9.181818181818182
RSN6255,9.181818181818182
RSN3103,14.227272727272727
RSN5080,29.363636363636363
RSN6501,22.3
RSN4326,9.181818181818182
RSN3341,10.19090909090909
RSN4125,3.1272727272727274
RSN3920,5.145454545454545
RSN6605,43.49090909090909
RSN6824,23.30909090909091
RSN8906,25.327272727272728
RSN18472,48.53636363636364
RSN280,4.136363636363636
RSN11871,30.37272727272727
RSN11870,30.37272727272727
RSN1981,48.53636363636364
RSN10503,92.93636363636362
RSN3879,6.154545454545454
