TH_file,factor
RSN1404,11.2
RSN2050,4.136363636363636
RSN6154,12.209090909090909
RSN6623,44.5
RSN2191,18.263636363636365
RSN5306,39.45454545454545
RSN9842,12.209090909090909
RSN3011,12.209090909090909
RSN2985,4.136363636363636
RSN6277,18.263636363636365
RSN4513,4.136363636363636
RSN3435,25.327272727272728
RSN287,11.2
RSN8886,3.1272727272727274
RSN8691,58.627272727272725
RSN1956,92.93636363636362
RSN713,5.145454545454545
RSN2207,37.43636363636364
RSN6793,47.527272727272724
RSN8728,89.90909090909089
