TH_file,factor
RSN193,6.154545454545454
RSN6604,27.345454545454544
RSN6605,47.527272727272724
RSN8637,25.327272727272728
RSN4195,5.145454545454545
RSN6266,6.154545454545454
RSN11159,72.75454545454545
RSN298,13.218181818181817
RSN5618,1.1090909090909091
RSN2927,7.163636363636363
RSN9299,44.5
RSN6824,16.245454545454546
RSN5479,17.254545454545454
RSN3257,8.172727272727272
RSN9622,54.590909090909086
RSN526,10.19090909090909
RSN11067,51.56363636363636
RSN107,12.209090909090909
RSN2772,27.345454545454544
RSN5760,3.1272727272727274
