TH_file,factor
RSN628,5.145454545454545
RSN12264,28.354545454545455
RSN4483,1.1090909090909091
RSN5349,30.37272727272727
RSN6837,24.31818181818182
RSN4971,16.245454545454546
RSN10565,31.381818181818183
RSN3347,15.236363636363635
RSN5670,5.145454545454545
RSN8655,12.209090909090909
RSN8395,42.481818181818184
RSN6459,58.627272727272725
RSN535,12.209090909090909
RSN193,6.154545454545454
RSN5225,70.73636363636362
RSN11776,32.39090909090909
RSN4143,1.1090909090909091
RSN6469,5.145454545454545
RSN8802,92.93636363636362
RSN3888,11.2
