GP_file,Longitude,Latitude
site0.csv,-117.117,33.3763
site1.csv,-117.117,33.4852
site2.csv,-117.117,33.5998
site3.csv,-117.117,33.7084
site4.csv,-117.117,33.817
site5.csv,-117.117,33.9254
site6.csv,-117.117,34.0393
site7.csv,-117.117,34.1474
site8.csv,-117.117,34.2554
site9.csv,-117.117,34.3689
site10.csv,-117.117,34.4766
site11.csv,-117.282,33.3763
site12.csv,-117.282,33.4852
site13.csv,-117.282,33.5998
site14.csv,-117.282,33.7084
site15.csv,-117.282,33.817
site16.csv,-117.282,33.9254
site17.csv,-117.282,34.0393
site18.csv,-117.282,34.1474
site19.csv,-117.282,34.2554
site20.csv,-117.282,34.3689
site21.csv,-117.282,34.4766
site22.csv,-117.447,33.3763
site23.csv,-117.447,33.4852
site24.csv,-117.447,33.5998
site25.csv,-117.447,33.7084
site26.csv,-117.447,33.817
site27.csv,-117.447,33.9254
site28.csv,-117.447,34.0393
site29.csv,-117.447,34.1474
site30.csv,-117.447,34.2554
site31.csv,-117.447,34.3689
site32.csv,-117.447,34.4766
site33.csv,-117.619,33.3763
site34.csv,-117.619,33.4852
site35.csv,-117.619,33.5998
site36.csv,-117.619,33.7084
site37.csv,-117.619,33.817
site38.csv,-117.619,33.9254
site39.csv,-117.619,34.0393
site40.csv,-117.619,34.1474
site41.csv,-117.619,34.2554
site42.csv,-117.619,34.3689
site43.csv,-117.619,34.4766
site44.csv,-117.784,33.3763
site45.csv,-117.784,33.4852
site46.csv,-117.784,33.5998
site47.csv,-117.784,33.7084
site48.csv,-117.784,33.817
site49.csv,-117.784,33.9254
site50.csv,-117.784,34.0393
site51.csv,-117.784,34.1474
site52.csv,-117.784,34.2554
site53.csv,-117.784,34.3689
site54.csv,-117.784,34.4766
site55.csv,-117.949,33.3763
site56.csv,-117.949,33.4852
site57.csv,-117.949,33.5998
site58.csv,-117.949,33.7084
site59.csv,-117.949,33.817
site60.csv,-117.949,33.9254
site61.csv,-117.949,34.0393
site62.csv,-117.949,34.1474
site63.csv,-117.949,34.2554
site64.csv,-117.949,34.3689
site65.csv,-117.949,34.4766
site66.csv,-118.114,33.3763
site67.csv,-118.114,33.4852
site68.csv,-118.114,33.5998
site69.csv,-118.114,33.7084
site70.csv,-118.114,33.817
site71.csv,-118.114,33.9254
site72.csv,-118.114,34.0393
site73.csv,-118.114,34.1474
site74.csv,-118.114,34.2554
site75.csv,-118.114,34.3689
site76.csv,-118.114,34.4766
site77.csv,-118.279,33.3763
site78.csv,-118.279,33.4852
site79.csv,-118.279,33.5998
site80.csv,-118.279,33.7084
site81.csv,-118.279,33.817
site82.csv,-118.279,33.9254
site83.csv,-118.279,34.0393
site84.csv,-118.279,34.1474
site85.csv,-118.279,34.2554
site86.csv,-118.279,34.3689
site87.csv,-118.279,34.4766
site88.csv,-118.45,33.3763
site89.csv,-118.45,33.4852
site90.csv,-118.45,33.5998
site91.csv,-118.45,33.7084
site92.csv,-118.45,33.817
site93.csv,-118.45,33.9254
site94.csv,-118.45,34.0393
site95.csv,-118.45,34.1474
site96.csv,-118.45,34.2554
site97.csv,-118.45,34.3689
site98.csv,-118.45,34.4766
site99.csv,-118.615,33.3763
site100.csv,-118.615,33.4852
site101.csv,-118.615,33.5998
site102.csv,-118.615,33.7084
site103.csv,-118.615,33.817
site104.csv,-118.615,33.9254
site105.csv,-118.615,34.0393
site106.csv,-118.615,34.1474
site107.csv,-118.615,34.2554
site108.csv,-118.615,34.3689
site109.csv,-118.615,34.4766
site110.csv,-118.78,33.3763
site111.csv,-118.78,33.4852
site112.csv,-118.78,33.5998
site113.csv,-118.78,33.7084
site114.csv,-118.78,33.817
site115.csv,-118.78,33.9254
site116.csv,-118.78,34.0393
site117.csv,-118.78,34.1474
site118.csv,-118.78,34.2554
site119.csv,-118.78,34.3689
site120.csv,-118.78,34.4766
