id,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,DesignLevel,FoundationType,NoUnits,FloodZone,FirstFloorHt1,SplitLevel,City,YearBuiltNJDEP,YearBuiltMODIV,Footprint
13,39.4267832,-74.49606204,Wood,Single Family Housing,1,29.43127418,1362.810166,Gable,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Open,RES1,NE,3505,1,AE,7.61,FALSE,Absecon,1955,1955,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.496014,39.426729],[-74.495983,39.426826],[-74.496069,39.426843],[-74.496076,39.426821],[-74.496144,39.426834],[-74.496169,39.426758],[-74.496014,39.426729]]]},""properties"":{}}"
14,39.42662161,-74.49440905,Wood,Single Family Housing,1,25.87388851,2438.147817,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,4.56,FALSE,Absecon,1955,1955,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.494283,39.426641],[-74.494446,39.426697],[-74.494488,39.426623],[-74.494326,39.426567],[-74.494283,39.426641]]]},""properties"":{}}"
15,39.42077698,-74.49412412,Wood,Single Family Housing,1,30.96183874,1894.188352,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,8.38,FALSE,Absecon,1965,1965,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.494158,39.420826],[-74.494240,39.420833],[-74.494253,39.420749],[-74.494092,39.420735],[-74.494081,39.420813],[-74.494109,39.420815],[-74.494104,39.420848],[-74.494155,39.420852],[-74.494158,39.420826]]]},""properties"":{}}"
16,39.43107487,-74.48208875,Wood,Single Family Housing,2,26.54334711,1888.502533,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3507,1,X,1.5,FALSE,Absecon,1984,1984,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.482231,39.431055],[-74.482087,39.431020],[-74.482080,39.431037],[-74.482031,39.431025],[-74.481992,39.431122],[-74.482066,39.431139],[-74.482075,39.431117],[-74.482195,39.431145],[-74.482231,39.431055]]]},""properties"":{}}"
17,39.42177856,-74.48723636,Wood,Single Family Housing,2,29.71661642,2559.926183,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Open,RES1,NE,3505,1,AE,0.89,FALSE,Absecon,1989,1989,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.487261,39.421994],[-74.487120,39.421950],[-74.487041,39.422102],[-74.487243,39.422165],[-74.487278,39.422099],[-74.487217,39.422080],[-74.487261,39.421994]]]},""properties"":{}}"
18,39.4265211,-74.49718423,Wood,Single Family Housing,2,39.2550296,987.0106864,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Open,RES1,NE,3505,1,AE,4.2,FALSE,Absecon,1960,1960,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.497280,39.426500],[-74.497179,39.426497],[-74.497175,39.426564],[-74.497237,39.426566],[-74.497238,39.426544],[-74.497277,39.426546],[-74.497280,39.426500]]]},""properties"":{}}"
19,39.42392049,-74.50583,Wood,Single Family Housing,2,41.98728839,501.4415323,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,8.49,FALSE,Absecon,1925,1925,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505993,39.423834],[-74.505952,39.423916],[-74.506084,39.423955],[-74.506125,39.423873],[-74.505993,39.423834]]]},""properties"":{}}"
20,39.43052143,-74.48114614,Wood,Single Family Housing,2,33.22434115,5151.764226,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Open,RES1,NE,3507,1,AE,0.5,FALSE,Absecon,1989,1989,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.480992,39.430508],[-74.481162,39.430626],[-74.481176,39.430613],[-74.481276,39.430682],[-74.481339,39.430628],[-74.481260,39.430574],[-74.481327,39.430516],[-74.481136,39.430384],[-74.480992,39.430508]]]},""properties"":{}}"
21,39.41877392,-74.50009673,Wood,Single Family Housing,2,48.10391541,1784.391349,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,6.02,FALSE,Absecon,1920,1920,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.500222,39.418757],[-74.500056,39.418702],[-74.499999,39.418805],[-74.500165,39.418860],[-74.500222,39.418757]]]},""properties"":{}}"
22,39.41876449,-74.4998435,Wood,Single Family Housing,2,29.64923546,788.7417277,Hip,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,2.29,FALSE,Absecon,1920,1920,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.499917,39.418754],[-74.499816,39.418722],[-74.499782,39.418786],[-74.499884,39.418818],[-74.499917,39.418754]]]},""properties"":{}}"
