,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberOfStories,NoUnits,PlanArea0,PlanArea,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,Footprint
18,NJBF000082101,194 N SHORE ROAD,Absecon,NJ,39.4265211,-74.49718423,RES1,3001,,17,NE,1960,1960,3102,2,1,987.0106864,987.0106864,3505,NO,35.11,43.4,3,4.2,6106,112.521522,122.301952,131.939257,138.098073,I,Above,Gable,0,5701,Wood,39.2550296,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.497280,39.426500],[-74.497179,39.426497],[-74.497175,39.426564],[-74.497237,39.426566],[-74.497238,39.426544],[-74.497277,39.426546],[-74.497280,39.426500]]]},""properties"":{}}"
19,NJBF000081866,257 SHOWELLTON AVE,Absecon,NJ,39.42392049,-74.50583,RES1,3001,,17,NE,1925,1925,3102,2,1,501.4415323,501.4415323,3505,NO,36.11,47.86,3,8.49,6110,112.359216,122.176482,131.802538,137.971878,I,Above,Gable,0,5701,Wood,41.98728839,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505993,39.423834],[-74.505952,39.423916],[-74.506084,39.423955],[-74.506125,39.423873],[-74.505993,39.423834]]]},""properties"":{}}"
20,NJBF000082507,518 LAZY LANE,Absecon,NJ,39.43052143,-74.48114614,RES1,3001,,18,NE,1989,1989,3102,2,1,5151.764226,5151.764226,3507,NO,26.33,40.12,1,0.5,6106,112.825633,122.54558,132.206085,138.341905,I,Above,Gable,0,5701,Wood,33.22434115,0,1.1,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.480992,39.430508],[-74.481162,39.430626],[-74.481176,39.430613],[-74.481276,39.430682],[-74.481339,39.430628],[-74.481260,39.430574],[-74.481327,39.430516],[-74.481136,39.430384],[-74.480992,39.430508]]]},""properties"":{}}"
21,NJBF000081352,338 S SHORE ROAD,Absecon,NJ,39.41877392,-74.50009673,RES1,3001,,17,NE,1920,1920,3101,2,1,1784.391349,1784.391349,3505,NO,43.25,52.95,3,6.02,6112,112.515379,122.330856,131.972084,138.163724,I,Above,Gable,0,5701,Wood,48.10391541,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.500222,39.418757],[-74.500056,39.418702],[-74.499999,39.418805],[-74.500165,39.418860],[-74.500222,39.418757]]]},""properties"":{}}"
22,NJBF000081349,338 S SHORE ROAD,Absecon,NJ,39.41876449,-74.4998435,RES1,3001,,17,NE,1920,1920,3101,2,1,788.7417277,788.7417277,3505,NO,23.42,35.88,3,2.29,6112,112.520807,122.335452,131.977098,138.168766,I,Above,Hip,0,5701,Wood,29.64923546,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.499917,39.418754],[-74.499816,39.418722],[-74.499782,39.418786],[-74.499884,39.418818],[-74.499917,39.418754]]]},""properties"":{}}"
23,NJBF000081982,161 OHIO AVE,Absecon,NJ,39.42503821,-74.50407406,RES1,3001,,17,NE,1900,1900,3102,2,1,2248.733882,2248.733882,3505,NO,31.78,44.75,3,0.7,6110,112.3883,122.195796,131.82341,137.988325,I,Above,Hip,0,5701,Wood,38.26621945,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504193,39.424993],[-74.504109,39.424946],[-74.503994,39.425070],[-74.504093,39.425125],[-74.504155,39.425059],[-74.504140,39.425050],[-74.504193,39.424993]]]},""properties"":{}}"
24,NJBF000081970,161 OHIO AVE,Absecon,NJ,39.42495527,-74.50424183,RES1,3001,,17,NE,1900,1900,3102,2,1,629.926956,629.926956,3505,NO,29.92,42.58,3,-2.55,6112,112.38536,122.193699,131.821134,137.986375,I,Above,Gable,0,5701,Wood,36.24764684,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504285,39.424925],[-74.504218,39.424905],[-74.504179,39.424982],[-74.504247,39.425002],[-74.504285,39.424925]]]},""properties"":{}}"
25,NJBF000080418,48 OREGON AVE,Absecon,NJ,39.41498667,-74.50528264,RES1,3001,,17,NE,1925,1925,3101,2,1,1484.249783,1484.249783,3505,NO,27.13,35.51,3,-2.75,6106,112.43323,122.27851,131.916153,138.123516,I,Above,Gable,0,5701,Wood,31.31707114,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505233,39.415031],[-74.505320,39.415053],[-74.505360,39.414957],[-74.505273,39.414935],[-74.505233,39.415031]]]},""properties"":{}}"
26,NJBF000080935,15 W COLORADO AVE,Absecon,NJ,39.41694243,-74.5045808,RES1,3001,,17,NE,1964,1964,3101,1,1,2221.575051,2221.575051,3505,NO,15.4,24.87,3,2.32,6112,112.43393,122.270652,131.906987,138.106172,I,Above,Hip,0,5701,Wood,20.13700787,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504578,39.416996],[-74.504603,39.416967],[-74.504694,39.417014],[-74.504735,39.416967],[-74.504505,39.416848],[-74.504440,39.416924],[-74.504578,39.416996]]]},""properties"":{}}"
27,NJBF000081364,112 MEADOWVIEW AVE,Absecon,NJ,39.41885016,-74.5079171,RES1,3001,,17,NE,1972,1972,3101,1,1,1645.389467,1645.389467,3505,NO,24.65,36.8,3,6.83,6112,112.350042,122.192186,131.821007,138.011385,I,Above,Gable,0,5701,Wood,30.72558195,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.508012,39.418909],[-74.508017,39.418832],[-74.507867,39.418826],[-74.507862,39.418903],[-74.508012,39.418909]]]},""properties"":{}}"
28,NJBF000081371,110 MEADOWVIEW AVE,Absecon,NJ,39.4189032,-74.50815567,RES1,3001,,17,NE,1972,1972,3101,1,1,2249.094087,2249.094087,3505,NO,14.78,27.21,3,2.69,6112,112.344642,122.187438,131.815822,138.005906,I,Above,Gable,0,5701,Wood,20.99607079,0,0,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.508100,39.418805],[-74.508059,39.418964],[-74.508237,39.418991],[-74.508257,39.418916],[-74.508173,39.418903],[-74.508195,39.418820],[-74.508100,39.418805]]]},""properties"":{}}"
29,NJBF000081337,127 MEADOWVIEW AVE,Absecon,NJ,39.4186983,-74.50651946,RES1,3001,,17,NE,1972,1972,3101,1,1,1593.999056,1593.999056,3505,NO,18.53,26.75,3,5.24,6106,112.38055,122.218344,131.849527,138.040911,I,Above,Gable,0,5701,Wood,22.63650367,0,1.1,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.506502,39.418670],[-74.506495,39.418771],[-74.506593,39.418775],[-74.506601,39.418659],[-74.506639,39.418661],[-74.506640,39.418638],[-74.506461,39.418630],[-74.506458,39.418669],[-74.506502,39.418670]]]},""properties"":{}}"
30,NJBF000082481,8 JULIANNA DRIVE,Absecon,NJ,39.43030157,-74.49026178,RES1,3001,,17,NE,1992,1992,3102,2,1,1183.438885,1183.438885,3507,NO,35.75,42.65,1,0.5,6110,112.638722,122.385289,132.030301,138.171838,I,Above,Gable,0,5701,Wood,39.20011476,0,1.1,,,,1,1,,0.35,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490362,39.430341],[-74.490295,39.430229],[-74.490194,39.430266],[-74.490261,39.430377],[-74.490362,39.430341]]]},""properties"":{}}"
31,NJBF000082460,6 JULIANNA DRIVE,Absecon,NJ,39.43013902,-74.48992581,RES1,3001,,17,NE,1997,1997,3102,2,1,596.2476655,596.2476655,3507,NO,36.59,47.29,1,0.29,6106,112.646807,122.392961,132.038712,138.180798,I,Above,Gable,0,5701,Wood,41.93784148,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489877,39.430136],[-74.489910,39.430192],[-74.489998,39.430161],[-74.489965,39.430105],[-74.489877,39.430136]]]},""properties"":{}}"
32,NJBF000082438,4 JULIANNA DRIVE,Absecon,NJ,39.42991694,-74.4899414,RES1,3001,,17,NE,1997,1997,3102,2,1,2222.139413,2222.139413,3507,NO,26.71,38.84,1,0.23,6106,112.648054,122.39501,132.040962,138.183964,I,Above,Hip,0,5701,Wood,32.77262268,0,1.1,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489915,39.429847],[-74.489859,39.429939],[-74.490024,39.429999],[-74.490080,39.429907],[-74.489915,39.429847]]]},""properties"":{}}"
