GP_file,Longitude,Latitude
10168.csv,-74.5122,39.3549
10169.csv,-74.5122,39.356
10170.csv,-74.5122,39.3571
10171.csv,-74.5122,39.3583
10172.csv,-74.5122,39.3594
10173.csv,-74.5122,39.3605
10174.csv,-74.5122,39.3617
10175.csv,-74.5122,39.3628
10176.csv,-74.5122,39.3639
10177.csv,-74.5122,39.365
10178.csv,-74.5122,39.3662
10179.csv,-74.5122,39.3673
10180.csv,-74.5122,39.3684
10181.csv,-74.5122,39.3696
10182.csv,-74.5122,39.3707
10183.csv,-74.5122,39.3718
10184.csv,-74.5122,39.373
10185.csv,-74.5122,39.3741
10186.csv,-74.5122,39.3752
10187.csv,-74.5122,39.3764
10188.csv,-74.5122,39.3775
10189.csv,-74.5122,39.3786
10190.csv,-74.5122,39.3798
10191.csv,-74.5122,39.3809
10192.csv,-74.5122,39.382
10193.csv,-74.5122,39.3832
10194.csv,-74.5122,39.3843
10195.csv,-74.5122,39.3854
10196.csv,-74.5122,39.3866
10197.csv,-74.5122,39.3877
10198.csv,-74.5122,39.3888
10199.csv,-74.5122,39.39
10200.csv,-74.5122,39.3911
10201.csv,-74.5093,39.3356
10202.csv,-74.5093,39.3367
10203.csv,-74.5093,39.3379
10204.csv,-74.5093,39.339
10205.csv,-74.5093,39.3401
10206.csv,-74.5093,39.3413
10207.csv,-74.5093,39.3424
10208.csv,-74.5093,39.3435
10209.csv,-74.5093,39.3447
10210.csv,-74.5093,39.3458
10211.csv,-74.5093,39.3469
10212.csv,-74.5093,39.3481
10213.csv,-74.5093,39.3492
10214.csv,-74.5093,39.3503
10215.csv,-74.5093,39.3515
10216.csv,-74.5093,39.3526
10217.csv,-74.5093,39.3537
10218.csv,-74.5093,39.3549
10219.csv,-74.5093,39.356
10220.csv,-74.5093,39.3571
10221.csv,-74.5093,39.3583
10222.csv,-74.5093,39.3594
10223.csv,-74.5093,39.3605
10224.csv,-74.5093,39.3617
10225.csv,-74.5093,39.3628
10226.csv,-74.5093,39.3639
10227.csv,-74.5093,39.365
10228.csv,-74.5093,39.3662
10229.csv,-74.5093,39.3673
10230.csv,-74.5093,39.3684
10231.csv,-74.5093,39.3696
10232.csv,-74.5093,39.3707
10233.csv,-74.5093,39.3718
